ALDH1A1	ALDH1A1	NA
LYN	TRPV4	0.9999998409
PAG1	LYN	1
NCR3	CD59	0.9498958902
GAB2	LYN	0.9999999996
PRAM1	LYN	0.9224807288
GAB3	LYN	0.9999937972
PPP1R15A	LYN	0.4181014012
LYN	FCGR2B	0.9961366185
INPP5D	LYN	1
CBLC	LYN	0.9999722246
BANK1	LYN	0.4682378421
GP6	LYN	0.9999722246
EVL	LYN	0.9999999999
GRB2	CD72	0.9994432301
NEDD9	LYN	1
CHST15	LYN	0.4682378421
SH2B2	LYN	1
DOK3	LYN	0.9999722246
JUN	JUN	NA
SPI1	JUN	1
POU1F1	JUN	0.9998906716
MAF	JUN	0.9999964286
RB1	JUN	1
NR5A1	JUN	0.9999999999
CD5	CD72	0.99944323
NFYA	JUN	0.9722133238
SP1	JUN	1
GTF2F2	JUN	1
ABL1	JUN	1.77300881367827E-014
TPM1	JUN	0.0211776802
HCFC1	JUN	0.9999999994
TAF1	JUN	1
AR	JUN	1
TBP	JUN	1
CREBBP	JUN	1
PTPN6	CD72	0.9994432301
RUNX2	JUN	0.9999962883
STAT1	JUN	0.000403327
STAT4	JUN	0.9999888271
HMGA1	JUN	0.9999999982
PRKDC	JUN	0.6019804243
SMAD4	JUN	4.75723993939625E-005
PIN1	JUN	1
MAPK8	JUN	1
NACA	JUN	0.9845550882
SMAD2	JUN	4.75723993939625E-005
SEMA4D	CD72	0.9882929362
TDG	JUN	0.9999996826
FOSL2	JUN	0.3146455849
SMARCD1	JUN	0.2642066002
VDR	JUN	1
MAPK3	JUN	1
SUMO1	JUN	1
NCOA3	JUN	1
NRIP1	JUN	0.9999999994
TGIF1	JUN	0.9999287471
NCOA1	JUN	1
BLNK	CD72	0.9994432301
EP300	JUN	1
MAPK9	JUN	5.68664187820691E-006
TSC22D3	JUN	0.9980295956
TCF20	JUN	0.9672875826
SMAD3	JUN	4.75723993939625E-005
DHX9	JUN	0.9999999358
ATF3	JUN	0.5115077236
HIF1A	JUN	1
TRIP4	JUN	0.9999987726
MYBBP1A	JUN	0.9996580371
SERPINA3	SERPINA3	NA
PRKD1	JUN	0.0095566823
DDX21	JUN	0.8977099342
SPIB	JUN	0.9999128126
PACS1	JUN	0.9997510442
ATF4	JUN	0.9999991085
HHEX	JUN	0.9974740928
COPS5	JUN	0.0149960588
MAFB	JUN	0.6801626016
RFWD2	JUN	0.4878150014
EN1	JUN	0.8977099342
TBCB	USP7	0.6573879413
CTSG	SERPINA3	1
GTF2B	JUN	1
HDAC3	JUN	1
UBE2I	JUN	1
RBM39	JUN	0.9852777467
RAGE	JUN	0.9672875826
MAPKAPK5	JUN	0.9999650859
BATF	JUN	0.9945649469
CREB5	JUN	0.8977099342
COBRA1	JUN	0.9966550018
TPM2	JUN	0.0311397744
CTRL	SERPINA3	0.8785365854
PIAS1	JUN	1
RPL18A	JUN	0.4109819732
JDP2	JUN	0.9999696997
SNRK	JUN	0.3146455849
RNPEP	ZFYVE9	0.8785365854
FHL2	ZFYVE9	0.0455288492
EIF4G1	ZFYVE9	0.1105849711
ZMYND8	ZFYVE9	0.4597637219
CHD6	ZFYVE9	0.7718236399
RBBP6	ZFYVE9	0.9999944756
CTRB1	SERPINA3	0.9997825942
RHOT2	ZFYVE9	0.8785365854
SMAD5	SF3B1	0.9999666867
MAPK14	JUNB	0.8281944862
SMAD4	JUNB	0.9989746964
MAPK8	JUNB	0.8281944862
FOSL2	JUNB	0.9583468674
SMAD3	JUNB	0.9989746964
BATF	JUNB	0.4034960379
JDP2	JUNB	0.8281693917
TBP	JUND	0.9977534758
CMA1	SERPINA3	0.7473974864
NFE2L2	JUND	0.9977509933
SMAD4	JUND	0.9873743947
MAPK8	JUND	0.9977534758
FOSL2	JUND	0.9472183446
MAPK9	JUND	0.2826787778
ATF3	JUND	0.5989267295
COPS5	JUND	0.1748676261
RFWD2	JUND	0.4867191132
BATF	JUND	0.9923306327
JDP2	JUND	0.9977232436
MMP1	SERPINA3	1
SMAD5	SMAD4	1
CEBPB	SPI1	1
NONO	SPI1	0.7440935874
GATA1	SPI1	0.9999999522
IRF8	SPI1	0.8468212146
IRF4	SPI1	0.6831250338
SPIB	SPI1	0.9999128126
SMAD5	SMAD1	1
FGFR2	FGF5	0.9975075731
CELA1	SERPINA3	0.9999967982
SMAD5	MTMR10	0.9852495309
OPRK1	OPRD1	0.9652988942
PRKCA	OPRD1	0.9677108427
PRKCE	OPRD1	0.9677108427
PRKCD	OPRD1	0.9677108427
OPRM1	OPRD1	0.7836035492
KLHL3	OPRD1	0.7959576501
ELANE	SERPINA3	1
SLC9A3R1	OPRK1	0.9975075731
CREBBP	MECOM	0.9945649469
HDAC1	MECOM	0.9945649469
CTBP1	MECOM	0.9945649469
CTBP2	MECOM	0.9945649469
SMAD3	MECOM	0.4039101684
HDAC4	MECOM	0.9945649469
KAT2B	MECOM	0.9945649469
SMAD5	PNKP	0.4039101684
ZIC1	GLI1	0.8835732997
MST1	SERPINA3	0.9251724874
ZIC2	GLI1	0.8835732997
SUFU	GLI1	0.4878150014
STK36	GLI1	0.1063842964
SMAD5	SFPQ	0.7628448873
ZIC1	GLI2	0.9977619899
ZIC2	GLI2	0.9977619899
SUFU	GLI2	0.288986543
STK36	GLI2	0.9369278993
ZIC3	GLI3	0.8785365536
CREBBP	GLI3	0.0650883324
KLK2	SERPINA3	0.9999998604
ZIC1	GLI3	0.9982090239
SMAD4	GLI3	0.9999999638
SMAD2	GLI3	0.9999999638
SMAD1	GLI3	0.9999999638
TWIST1	GLI3	0.4039101538
ZIC2	GLI3	0.9982090239
SMAD3	GLI3	0.9999999638
SUFU	GLI3	0.0650883324
STK36	GLI3	0.9373476774
SMAD4	SKIL	1
ERBB2	SERPINA3	0.0081740919
SMAD2	SKIL	1
SMAD3	SKIL	1
CDC16	SKIL	1
FZR1	SKIL	0.9995658875
CPNE1	SKIL	0.9999999968
CPNE2	SKIL	0.9998063671
CPNE4	SKIL	0.9999999995
SMURF2	SKIL	1
CBL	CBL	NA
NHEJ1	LIG4	0.8627672625
ADRA1D	FLNC	0.9999722246
KLK3	SERPINA3	0.9999999785
PLCG1	CBL	1
PTPN6	CBL	1
TYK2	CBL	1
ZAP70	CBL	1
ITK	CBL	0.9999999988
ABL1	CBL	1
SRC	CBL	1
NOTCH1	CBL	0.0001581206
BLK	CBL	0.9999513298
BTK	CBL	1
F5	SERPINA3	0.9999997505
SH3KBP1	CBL	1
SYK	CBL	1
SCN5A	CBL	0.9999999966
VAV2	CBL	0.9999991155
NCK1	CBL	1
SHC1	CBL	1
INPPL1	CBL	0.9999999846
SLA	CBL	0.9999552553
PTK2B	CBL	1
UBE2G1	CBL	0.7821730601
POLA1	SERPINA3	0.1631134637
LCP2	CBL	1
CRKL	CBL	1
SPRY2	CBL	0.8921566078
KHDRBS1	CBL	1
EPHB6	CBL	0.9993520831
UBE2D2	CBL	0.0618815906
UBE2G2	CBL	0.2823323082
PIK3R2	CBL	1
CD151	ITGA3	0.9972434714
UBE2L3	CBL	0.0799321616
CTRC	SERPINA3	0.9593304724
CD2AP	CBL	1
CD151	ITGB1	0.9972811912
SORBS1	CBL	0.9999999854
SLA2	CBL	0.9888434945
PTPN22	CBL	0.9999986149
SHC1	CD81	0.9999621773
FRS2	CBL	1
EIF5B	CBL	0.6029959478
SMAD5	SNRPA	0.9990185158
DNAJC1	SERPINA3	0.5957028023
CDKL2	CBL	0.7765311653
UBASH3B	CBL	0.8725121593
PGGT1B	RHOB	0.9847521293
PDE6D	RHOB	0.1702319553
ARHGDIG	RHOB	0.9726107766
RHPN2	RHOB	0.9847521293
ARHGEF3	RHOB	0.7714779615
ROCK1	RHOC	0.1445451725
RTKN	RHOC	0.5231044726
CIT	RHOC	0.8991719037
ATN1	PSMA3	0.8190708115
RHOA	RHOA	NA
PLCG1	RHOA	0.0015964813
KCNA2	RHOA	0.6127919204
PRKCA	RHOA	0.0015964813
TGM2	RHOA	0.3481849948
FLNA	RHOA	0.0015964813
OPHN1	RHOA	0.8931515779
MCF2	RHOA	0.992205058
KTN1	RHOA	0.7682202261
VAV2	RHOA	0.5901322251
ATN1	GIGYF1	0.9337101915
PKN1	RHOA	0.7917559187
DGKQ	RHOA	0.9630352304
PRKACA	RHOA	1
ROCK1	RHOA	0.9427400339
TRIO	RHOA	0.7977122719
ARHGDIA	RHOA	0.9073679589
PPP1R12A	RHOA	0.7124646313
RTKN	RHOA	0.9746645469
CNTNAP1	RHOA	0.7977122719
PLD1	RHOA	0.4707145649
CTSB	SLPI	0.9999280053
PKN2	RHOA	0.9964192891
PDE6D	RHOA	0.7917559187
ARHGAP1	RHOA	0.9686176116
ARHGDIB	RHOA	0.7398177544
ARHGDIG	RHOA	0.7977122719
AKAP13	RHOA	0.5901322251
RABAC1	RHOA	0.6539702812
ARHGEF4	RHOA	0.9986345706
VAV3	RHOA	0.5901322251
ARHGEF12	RHOA	0.9999999899
CTSS	SLPI	0.9998560157
CIT	RHOA	0.7977122719
ARHGEF11	RHOA	1
ICMT	RHOA	0.8601337512
SRGAP1	RHOA	0.8601337512
DAAM1	RHOA	0.8931515779
RHPN2	RHOA	0.8283356582
SH3BP1	RHOA	0.7977122719
ARHGEF2	RHOA	0.7398177544
DEF6	RHOA	0.7682202261
GMIP	RHOA	0.9274358901
CTSL1	SLPI	0.9999280053
RAP1GDS1	RHOA	0.9586427391
TRPC1	RHOA	0.9890848476
CNKSR1	RHOA	0.5683098439
ARHGEF18	RHOA	0.9274358901
ARHGEF3	RHOA	0.9274358901
-	RHOA	0.0001120058
MCF2L	RHOA	0.8601337512
-	RHOA	0.0001120058
DOCK7	RHOA	0.8931515779
SMAD5	PSMD11	0.9844545398
ADRA1B	FLNC	0.9994717917
ELANE	SLPI	0.9999280053
RHPN1	RHOA	0.7682202261
SPRED2	RHOA	0.9274358901
SMAD5	U2AF2	0.0344529998
SMAD5	SOX5	0.9997825942
OAZ1	ODC1	0.982691331
OAZ2	ODC1	0.9662418317
ACP5	SPP1	0.9990636033
PRKCA	SPP1	0.7633598462
MMP7	SPP1	0.1066773318
ITGAV	SPP1	0.5787536319
GRN	SLPI	0.6963318349
ITGA9	SPP1	0.4968600081
PRKG1	SPP1	0.7633598462
SMAD5	HBG2	0.9593304724
TTN	NBR1	0.1455484141
CIB1	NBR1	0.8593250373
FEZ1	NBR1	0.8699794445
VAPA	OSBP	0.6536877933
SMAD5	RBM4	0.6780702236
AVP	OXTR	0.962315172
OXT	OXTR	0.7531163154
KLK3	SLPI	0.9999279838
PCSK6	PCSK6	NA
PCSK6	PMCH	0.8931515779
PCSK6	FLG	0.6809620336
RB1	PAX2	0.8468212146
MAPK8	PAX2	0.8468212146
WT1	PAX2	0.7682157175
PAXIP1	PAX2	0.8343540982
SFRP2	PAX2	0.1683327649
HIRA	PAX7	0.6799932712
MEOX1	PAX1	0.9012059267
PRSS2	SLPI	0.9989465917
MEOX2	PAX1	0.9988643342
PAX5	PAX5	NA
MYB	PAX5	0.9999996351
ID3	PAX5	0.9999987437
KPNA2	PAX5	0.9999996351
KPNA1	PAX5	0.87528545
DAXX	PAX5	0.9999996351
TLE4	PAX5	0.8097182225
SMAD5	RYR2	0.562126283
NKX2-1	PAX8	0.9610746687
ATN1	SIAH1	1
SMAD3	PAX8	0.5233388615
WBP2	PAX8	0.8654803145
PAX9	KDM5B	0.6809620336
SRF	PRRX1	0.9966550018
GTF2I	PRRX1	0.9863769075
MAFG	PRRX1	0.996653864
MAFF	PRRX1	0.991238129
REG3A	REG1A	0.8776743156
CTRC	SPINK1	0.9591219085
PLSCR1	SLPI	0.7600436593
PRSS7	SPINK1	0.8783455865
NRSN1	SPINK1	0.8783455865
SMAD5	VPS24	0.9999996217
TRHDE	REG3A	0.8776743156
SMAD5	BCAT1	0.8785365854
SMAD5	PPIL4	0.8785365854
SMAD5	SNRNP70	1
NFX1	ELAVL4	0.9662860205
SMAD5	WWP1	0.0749700411
SERPINC1	SERPINC1	NA
SPG20	ZFYVE9	0.9251724874
PTH1R	PTH	0.8270291219
MEP1A	PTH	0.5233388613
PTH2R	PTH	0.1407874707
PCNA	CCND1	1
RB1	CCND1	1
SP1	CCND1	1
TAF1	CCND1	1
AR	CCND1	1
IFI27	CCND1	0.4626152691
SDC2	SERPINC1	0.2823322888
CDKN1B	CCND1	0.039010789
MYBL2	CCND1	0.9999996826
PRKACA	CCND1	0.561901512
NCOA3	CCND1	1
NCOA1	CCND1	1
EP300	CCND1	1
CDK6	CCND1	0.9973553515
AKAP8	CCND1	0.999295654
GSK3B	CCND1	0.561901512
KLK2	SERPINC1	0.9990183763
CCNDBP1	CCND1	0.616576408
KAT2B	CCND1	1
RBX1	CCND1	0.0248204432
THRA	CCND1	1
THRB	CCND1	1
HDAC3	CCND1	1
ORC4L	CCND1	0.9997510442
CUL3	CCND1	0.5115077236
DMTF1	CCND1	0.9005328667
HERC5	CCND1	0.9966550018
PLG	SERPINC1	0.9990185158
MCM10	CCND1	0.1635887827
NPDC1	CCND1	0.5115077236
BMP4	ZFYVE9	1
PTHLH	PTH1R	0.7964540379
SLC9A3R1	PTH1R	0.1702319587
SLC9A3R2	PTH1R	0.9984226969
KLK3	PTHLH	0.8412145417
KPNB1	PTHLH	0.8412145598
CLU	PON1	0.6780702233
JUP	DSG3	0.9628512586
ADRA1A	FLNC	0.9998205466
F2	SERPINC1	0.9990185158
CASP3	DSG3	0.2140019772
TAP2	TAP1	0.999999748
PDIA3	TAP1	0.640249544
TAPBP	TAP1	0.9722222477
TAPBP	TAP2	0.9722220027
PRKCA	PAM	0.9513838889
KALRN	PAM	0.5687728888
RASSF9	PAM	0.7387792399
UHMK1	PAM	0.5736806299
PIK3R1	NUP85	0.2823323082
VIM	NUP85	0.1455487212
PRKACA	NUP85	0.9873261229
DYNC1LI1	NUP85	0.9156816816
PRKACA	PLIN1	0.9986345706
PRPH2	PRPH	0.8341987117
PEX10	PEX2	0.6736549405
ABCD3	ABCD3	NA
COL6A2	ABCD3	0.9850353319
ABCD1	ABCD3	0.9979920437
CA2	SLC9A1	0.6856636993
PEX19	ABCD3	0.9997825942
ABCD2	ABCD3	0.9979920437
MAPK1	PPARA	0.9999999999
RXRA	PPARA	0.9999999999
NCOR2	PPARA	0.9999999999
NCOR1	PPARA	0.9999999999
DUT	PPARA	0.9841710008
MAPK3	PPARA	0.9999999999
DAP3	PPARA	0.9841710008
NRIP1	PPARA	0.9999999994
NCOA1	PPARA	0.9999999999
EP300	PPARA	0.9999999999
MED1	PPARA	0.9999999999
PPARGC1A	PPARA	0.9999999999
AKAP13	PPARA	0.7280316943
GADD45B	PPARA	0.999860589
GADD45G	PPARA	0.9999959465
MED24	PPARA	0.9966550017
NR1H3	PPARA	0.9999998584
YWHAB	SLC9A1	0.530488512
AIP	PPARA	0.9935983914
NRBF2	PPARA	0.9966550017
-	PPARA	0.0150487894
MECR	PPARA	0.9966550017
SCYL2	ZFYVE9	0.6780702236
SLC2A4	ACTN4	0.2733667679
SLC2A4	GAPDH	1
SLC2A4	ACOX1	0.7560483826
YWHAZ	PDC	0.4970049604
PRKACA	PDC	0.9873261229
MAP4K4	SLC9A1	0.7343556685
CAMK2A	PDC	0.2823323082
GPC4	ACP5	0.65696397
GPLD1	ALPP	0.99994953
PIGK	ALPP	0.9998991995
PIK3R1	PIK3R1	NA
SLC2A4	PRKAR1A	0.1604312719
PDGFRB	PIK3R1	1
PECAM1	PIK3R1	0.9999999946
PFN1	PIK3R1	0.5448777945
PTPN11	PIK3R1	1
-	SLC9A1	NA
SLC2A4	RAB7A	0.3267051327
TYK2	PIK3R1	1
CDKN2A	NCL	0.9999998826
CD28	PIK3R1	1
CD7	PIK3R1	0.9747324531
CD4	PIK3R1	1
GTF2H1	PIK3R1	0.0146823439
HRAS	PIK3R1	1
FES	PIK3R1	1
SRC	PIK3R1	1
TESC	SLC9A1	0.9999130242
ERBB3	PIK3R1	1
TGFBR1	PIK3R1	1.1518189344732E-006
TUBG1	PIK3R1	0.9959646492
SH3KBP1	PIK3R1	1
WAS	PIK3R1	1
ERAS	PIK3R1	0.9500663828
CSF2RA	PIK3R1	0.9831156401
ARAF	PIK3R1	0.1013486968
SYN1	PIK3R1	0.9997330223
RRAS2	PIK3R1	0.0408949554
UBTF	CD3EAP	0.809718267
MST1R	PIK3R1	0.9991527328
TEK	PIK3R1	1
TIE1	PIK3R1	0.9888434945
SHB	PIK3R1	1
TYRO3	PIK3R1	0.9972811912
SLC9A2	PIK3R1	0.9992961172
SHC1	PIK3R1	1
PTK2	PIK3R1	1
IRS2	PIK3R1	1
INPP4A	PIK3R1	0.4682378421
TAF1A	CD3EAP	0.6722118543
GHR	PIK3R1	1
MAPK8	PIK3R1	0.0021574518
PTK2B	PIK3R1	1
SLC2A4	CTSD	0.8273654016
CRKL	PIK3R1	1
RAC1	PIK3R1	1
TUBA1B	PIK3R1	0.9996996147
IL1RAP	PIK3R1	0.9950018426
ADAM12	PIK3R1	0.9999513298
ARHGAP1	PIK3R1	0.9999997398
CAPN3	FLNC	0.6886346143
CD3E	CD3EAP	0.2823323041
PIK3CD	PIK3R1	0.999999341
PIK3CB	PIK3R1	0.9992961172
BCAR1	PIK3R1	1
IRS4	PIK3R1	0.9999997729
SOCS1	PIK3R1	1
CD2AP	PIK3R1	1
HGS	PIK3R1	0.0082828786
GAB1	PIK3R1	1
TOM1L1	PIK3R1	1
TRAT1	PIK3R1	0.9999986149
POLR1E	CD3EAP	0.8053176548
YWHAG	PIK3R1	3.86672451401862E-005
AGAP2	PIK3R1	0.6886346143
VAV3	PIK3R1	0.9999873369
GAB2	PIK3R1	0.9999999996
PIK3AP1	PIK3R1	0.9888434945
GAB3	PIK3R1	0.9999937972
CD3E	PIK3R1	0.9999999854
-	PIK3R1	1.6326571134929E-008
PPM1A	PIK3R1	0.3153745482
WBP11	PIK3R1	0.9999907377
IFNW1	IFNAR1	0.7765311616
SLC2A4	ARF3	0.9482638676
SLC2A4	HK2	0.996512973
PDGFRB	PIK3CA	0.999999176
PRKCD	PIK3CA	0.999999176
HRAS	PIK3CA	0.999999176
SH3KBP1	PIK3CA	0.999999176
GNAQ	PIK3CA	0.0046637067
IRS4	PIK3CA	0.9999989489
SLC2A4	SERPINH1	0.9999993345
PIK3R3	PIK3CA	0.9994709681
IFNA2	IFNAR1	0.9500663782
MRAS	PIK3CA	0.880223258
RASD2	PIK3CA	0.074970041
GABRB1	PIK3CA	0.7821724156
PRKCA	PFKFB2	0.1026379714
PRKAA2	PFKFB2	0.9997982228
YWHAZ	PFKFB2	0.2840648526
PRKACA	PFKFB2	0.999798233
PRKAA1	PFKFB2	0.999798233
SLC2A4	CFL1	1
DYNLL1	PFKP	0.8695121951
IFNB1	IFNAR1	0.9500663782
SLC2A4	STRN3	0.4321430853
SLC2A4	MVP	0.4970049604
PFKM	PFKL	0.8137173698
SLC2A4	PDIA6	0.5715998572
SLC2A4	UBA52	0.5405621134
SLC2A4	-	1
SLC2A4	DLD	0.6573879413
SLC2A4	BSG	0.9997098702
APOA1	PDE1A	0.9274358901
SLC2A4	HSP90AA1	0.000008161
PIK3R1	IFNAR1	0.9999999952
SLC2A4	UBE2N	0.9999970573
SLC2A4	KBTBD10	0.9829760077
SLC2A4	ARFIP1	0.9533692651
S100A1	PGM1	0.6016454581
S100B	PGM1	0.8534435882
SLC2A4	LEPRE1	0.8695121951
SLC2A4	ACTN1	0.2503457886
NAA38	PGD	0.9998332429
SLC2A4	MAP1S	0.9673096608
SLC2A4	FAR1	0.8695121951
PTPN11	IFNAR1	0.9999999952
SLC2A4	PSMD7	0.8213143363
S100A1	PLN	0.9999680591
PPP1R3A	PLN	0.9274358901
PRKACA	PLN	0.9999999999
